item_name,group,subcategory,url,path,description,scrape_status,location,loc_status
Antiquated Dress,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Antiquated+Dress,/Antiquated+Dress,"""A dress from the ancient fallen land of Oolacile. Its ivory-colored silk features elaborate embroidery and is imbued with ancient magic power. One cannot expect any physical protection from this garment, as it was not meant to be worn in battle.""",ok_blockquote,"[1] - Found in Darkroot Basin, after saving Dusk of Oolacile. Kill the Golden Crystal Golem in the back of the Darkroot Basin cave (far behind the Hydra), go back to where the corpse was in front of the Hydra, and summon her (you DO NOT have to be in human form), then return to where you found the golem. You will find the set there.",ok_loc_list
Armor of Artorias,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Armor+of+Artorias,/Armor+of+Artorias,"Armor of Artorias the Abysswalker, one of Gwyn's four knights. The death of the armor's owner can be surmised from the corrosive Dark of the Abyss, and the tattered azure-blue cape, once a symbol of pride and glory.""",ok_blockquote,"[1] - Sold by Domhnall of Zena for 20,000 souls after defeating Artorias The Abysswalker.",ok_loc_list
Armor of Thorns,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Armor+of+Thorns,/Armor+of+Thorns,"""Armor of Kirk, knight of Thorns and notorious member of the Darkwraiths. A dense patch of thorns grows from its surface. It is a fitting item for the murderous Kirk, for by simply wearing it and rolling, one can damage enemies.""",ok_blockquote,"[1] - Same place where The Fair Lady is. To spawn the armor set you need to defeat Kirk, Knight of Thorns in 3 places: Depths, Demon Ruins, Lost Izalith.",ok_loc_list
Armor of the Glorious,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Armor+of+the+Glorious,/Armor+of+the+Glorious,"""Strange armor from the ancient land of Zena, birthplace of the curious dealer Domhnall. The many medals are believed to symbolize glory.""",ok_blockquote,"[1] - Sold by Domhnall of Zena for 15,000 souls.",ok_loc_list
Armor of the Sun,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Armor+of+the+Sun,/Armor+of+the+Sun,"""Armor of Solaire of Astora, Knight of Sunlight. The large holy symbol of the Sun, while powerless, was painted by Solaire himself. Solaire's incredible prowess must have come from rigorous training alone, for his equipment exhibits no special traits.""",ok_blockquote,[1] - Dropped by Solaire of Astora.,ok_loc_list
Balder Armor,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Balder+Armor,/Balder+Armor,"Armor worn by the knights of the ancient kingdom of Balder. It is made from thick iron plates. Balder was the homeland of the Knight King Rendal, but it came to ruin after a great many Undead were spawned.""",ok_blockquote,"[1] - Sold by Crestfallen Merchant for 8,000 souls. [2] - Drops from random Balder Knight (1% chance - Sen's Fortress and Undead Parish).",ok_loc_list
Black Cleric Robe,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Black+Cleric+Robe,/Black+Cleric+Robe,"""Robe worn by pardoners serving Velka, the Goddess of Sin. The pardoners' attire is uniformly black in color and said to be imbued with Velka's mystical power, which provides resistance against all manner of magic.""",ok_blockquote,"[1] - Painted World of Ariamis, behind the locked annex door.",ok_loc_list
Black Iron Armor,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Black+Iron+Armor,/Black+Iron+Armor,"Armor of Black Iron Tarkus, a knight known for his great strength. Built of a special black iron and providing strong defense, notably against fire, but so terrible heavy to be unwieldy to all but Tarkus himself.""",ok_blockquote,[1] - Anor Londo. To the left of the giant painting leading to the Painted World of Ariamis.,ok_loc_list
Black Knight Armor,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Black+Knight+Armor,/Black+Knight+Armor,"Armor of the Black Knight who haunt Lordran. The knights followed Lord Gwyn when he departed to link the flame, but they were burned to ashes in newly kindled fire, wandering the world as disembodied spirits ever after.",ok_blockquote,[1] - Kiln of the First Flame. Corpse on a ledge near the third black knight.,ok_loc_list
Black Leather Armor,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Black+Leather+Armor,/Black+Leather+Armor,"""This armor is made of smooth black leather is extremely quiet, a good thing for those who hide in the shadows. The leather itself is thick, offering a decent level of protection.""",ok_blockquote,[1] - Thief (Starting Class). [2] - Lower Undead Burg: in a room of one of the second set of hollow thieves.,ok_loc_list
Black Sorcerer Cloak,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Black+Sorcerer+Cloak,/Black+Sorcerer+Cloak,"""Cloak worn by the secret sorcerers at Vinheim Dragon School. They secretly work with sound-based spells, and never reveal themselves.""",ok_blockquote,[1] - Sen's Fortress.,ok_loc_list
Brass Armor,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Brass+Armor,/Brass+Armor,"""Armor of the Darkmoon Knightess, Fire Keeper of Anor Londo. After becoming Undead, she visited the Dark Sun Gwyndolin at the Mausoleum of the Spiral Depths, became a Blade of Darkmoon, and assumed the flame-keeping duty. She received this armor, which hides her hideous form and helps her hunt the guilty.""",ok_blockquote,"[1] - Darkmoon Tomb, after defeating Dark Sun Gwyndolin.",ok_loc_list
Brigand Armor,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Brigand+Armor,/Brigand+Armor,"""Worn by the brigands who raid mountain hamlets and attack travelers. Worn by the brigands who raid mountain hamlets and attack travelers""",ok_blockquote,[1] - Bandit (Starting Class). [2] - Valley of Drakes.,ok_loc_list
Catarina Armor,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Catarina+Armor,/Catarina+Armor,"Distinctively shaped armor worn by the Knights of Catarina. Outside of Catarina, it is often ridiculed for their onion-like shape, infuriating the proud knights, but the masterfully forged curved design makes it very effective for parrying.",ok_blockquote,"[1] - Sold by Crestfallen Merchant for 10,000 souls.",ok_loc_list
Chain Armor,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Chain+Armor,/Chain+Armor,"""Chainmail armor of thin interlinking rings of steel. It is common throughout the human world since it can be easily produced, is not too heavy, and offers good defense. Knights may favor flashy armor, but for warriors on the battlefield, anything is fine as long as it keeps them alive.""",ok_blockquote,[1] - Sold by Undead Merchant (Male) for 800 souls. [2] - Drops from Chained Prisoner (20% chance - Oolacile Township).,ok_loc_list
Chester's Long Coat,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Chester's+Long+Coat,/Chester's+Long+Coat,"""Black leather long coat hat worn by Marvellous Chester, a man of mystery lost in the past. This exquisitely sewn aristocratic suit allows its wearer to move in silence, lending well to stealth.""",ok_blockquote,[1] - Killing Marvellous Chester in human form.,ok_loc_list
Cleric Armor,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Cleric+Armor,/Cleric+Armor,"Armor worn by the warrior clerics of the Way of White, who are famous for being unyielding in battle. It is rather substantial in size and weight, making its wearer look even bigger than he actually is.",ok_blockquote,[1] - Sold by Patches the Hyena.,ok_loc_list
Crimson Robe,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Crimson+Robe,/Crimson+Robe,"""Robe of the sorcerers who flooded New Londo to seal away the Dark wraiths, and the Four Kings who descended into Dark. The Sealers were once known as healers, and the bright crimson was a symbol of that.""",ok_blockquote,"[1] - Blighttown, near the entrance from Valley of Drakes.",ok_loc_list
Crystalline Armor,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Crystalline+Armor,/Crystalline+Armor,"""Armor worn by a Hollowed knight, who was partially crystallized. The crystal provides powerful defense, but it cannot be used for long because it is easily broken and cannot be repaired.""",ok_blockquote,[1] - The Duke's Archives. Outside in the area with Crystal Golems.,ok_loc_list
Dark Armor,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Dark+Armor,/Dark+Armor,"Armor of the Darkwraiths, former knights of New Londo who descended into Dark. Their armor transformed, and remains a symbol of the Dark servants and their diabolical art of Lifedrain.",ok_blockquote,[1] - Obtained by getting Rank 2 in the Darkwraith Covenant.,ok_loc_list
Dingy Robe,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Dingy+Robe,/Dingy+Robe,"""Worn by the Fire Keeper at Firelink Shrine. It is thought to have once been the white robe of a maiden, but smoke and ashes from bonfires darkened it over the years.""",ok_blockquote,[1] - Part of a Lautrec questline. In Anastacia cell.,ok_loc_list
Eastern Armor,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Eastern+Armor,/Eastern+Armor,"""A distinctive armor made in an Eastern land. Exquisitely crafted, this armor offers excellent defense, particularly versus slash attacks, which are one of the main threats in battles in the East.""",ok_blockquote,"[1] - Darkroot Garden, past the door locked with Crest of Artorias. Hug the wall on the right until you reach a cliff with armor set. Video Location Timestamp 12:53.",ok_loc_list
Elite Knight Armor,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Elite+Knight+Armor,/Elite+Knight+Armor,"""Armor of a nameless knight, perhaps an elite knight of Astora, based on the fire-warding heraldic symbol on its blue surcoat. Although he was loath to give up on his Undead mission, he perished at the Undead Asylum, and went Hollow.""",ok_blockquote,"[1] - After a fog wall in Darkroot Garden. Guarded by two Stone Knights. [2] - Part of the Elite Knight Set. Pieces include Elite Knight Helm, Elite Knight Gauntlets and Elite Knight Leggings.",ok_loc_list
Embraced Armor of Favor,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Embraced+Armor+of+Favor,/Embraced+Armor+of+Favor,"""Armor of Lautrec the Embraced, representing the goddess Fina's love. The goddess's arms wrap around it, as if to embrace the wearer.""",ok_blockquote,"[1] - Found in Anor Londo, on second floor of Ornstein and Smough boss area, after invading and defeating Lautrec.",ok_loc_list
Giant Armor,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Giant+Armor,/Giant+Armor,"Armor of the giant sentinels of Anor Londo. Made from ancient brass, it also offers protection versus non-physical attacks, but due to its giant size, it is extremely heavy for humans, and impedes stamina recovery.",ok_blockquote,[1] - Sold by Giant Blacksmith.,ok_loc_list
Gold-Hemmed Black Cloak,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Gold-Hemmed+Black+Cloak,/Gold-Hemmed+Black+Cloak,"""Worn by the witch Quelana of Izalith, mother of pyromancy and Daughter of Chaos. She wore this gold-hemmed black cloak before even the Age of Fire, and it offers strong resistance versus fire, poison, and other perils.""",ok_blockquote,[1] - Found in Ceaseless Discharge's area of the Demon Ruins.,ok_loc_list
